"ISO3","Countries","Year","MeasurementType","Value"
"AFG","Afghanistan","2009","Estimate",NA
"ALB","Albania","2009","Estimate",NA
"DZA","Algeria","2009","Estimate",NA
"AGO","Angola","2009","Estimate",NA
"AIA","Anguilla","2009","Estimate",NA
"ATG","Antigua and Barbuda","2009","Estimate",NA
"ARG","Argentina","2009","Estimate",NA
"ARM","Armenia","2009","Estimate",NA
"AUS","Australia","2009","Estimate",NA
"AUT","Austria","2009","Estimate",NA
"AZE","Azerbaijan","2009","Estimate",0.26
"BHS","Bahamas","2009","Estimate",NA
"BHR","Bahrain","2009","Estimate",NA
"BGD","Bangladesh","2009","Estimate",NA
"BRB","Barbados","2009","Estimate",NA
"BLR","Belarus","2009","Estimate",0.95
"BEL","Belgium","2009","Estimate",NA
"BLZ","Belize","2009","Estimate",0.77
"BEN","Benin","2009","Estimate",NA
"BTN","Bhutan","2009","Estimate",NA
"BOL","Bolivia (Plurinational State of)","2009","Estimate",0.07
"BIH","Bosnia and Herzegovina","2009","Estimate",NA
"BWA","Botswana","2009","Estimate",NA
"BRA","Brazil","2009","Estimate",0.25
"BRN","Brunei Darussalam","2009","Estimate",NA
"BGR","Bulgaria","2009","Estimate",NA
"BFA","Burkina Faso","2009","Estimate",0.03
"BDI","Burundi","2009","Estimate",NA
"CPV","Cabo Verde","2009","Estimate",0.95
"KHM","Cambodia","2009","Estimate",NA
"CMR","Cameroon","2009","Estimate",0.27
"CAN","Canada","2009","Estimate",NA
"CAF","Central African Republic","2009","Estimate",0.01
"TCD","Chad","2009","Estimate",NA
"CHL","Chile","2009","Estimate",NA
"CHN","China","2009","Estimate",NA
"COL","Colombia","2009","Estimate",0.05
"COM","Comoros","2009","Estimate",NA
"COG","Congo","2009","Estimate",0.08
"COK","Cook Islands","2009","Estimate",NA
"CRI","Costa Rica","2009","Estimate",0.92
"CIV","C̫te d'Ivoire","2009","Estimate",NA
"HRV","Croatia","2009","Estimate",NA
"CUB","Cuba","2009","Estimate",0.83
"CYP","Cyprus","2009","Estimate",NA
"CZE","Czech Republic","2009","Estimate",NA
"KOR","Democratic People's Republic of Korea","2009","Estimate",NA
"COD","Democratic Republic of the Congo","2009","Estimate",NA
"DNK","Denmark","2009","Estimate",NA
"DJI","Djibouti","2009","Estimate",NA
"DMA","Dominica","2009","Estimate",NA
"DOM","Dominican Republic","2009","Estimate",0.28
"ECU","Ecuador","2009","Estimate",0.01
"EGY","Egypt","2009","Estimate",0.04
"SLV","El Salvador","2009","Estimate",NA
"GNQ","Equatorial Guinea","2009","Estimate",NA
"ERI","Eritrea","2009","Estimate",NA
"EST","Estonia","2009","Estimate",NA
"ETH","Ethiopia","2009","Estimate",0.04
